dataset_name,model_type,latent_dim,mean_loss,std_loss,mean_psnr,mean_ssim
mnist,ae,2,0.04553928915807542,0.00034145089199025177,13.416260250265044,0.5624944373648217
mnist,dae,2,0.0490808275310283,0.0024526342012347645,13.096207306933689,0.5461897295206152
mnist,vae,2,0.0443809477176438,0.0005557004929471547,13.528376423441477,0.5990899638926729
mnist,ae,8,0.022445452613557907,0.00019984368264840536,16.488888987486654,0.7893239125292352
mnist,dae,8,0.024763514767301847,0.00022608117828135143,16.062058595637218,0.7783699033108163
mnist,vae,8,0.020202911641210953,0.0001559553221699076,16.945990136802074,0.8108680233042291
mnist,ae,16,0.01453381653954374,0.0001676124852165324,18.37648967468376,0.8597675938555536
mnist,dae,16,0.01753557659685612,0.00046689384263790874,17.562342321044635,0.8293484649759659
mnist,vae,16,0.012036900634461261,8.367536745473328e-05,19.19495766667963,0.8838850296558218
mnist,ae,32,0.008981203584079729,7.076596819396676e-05,20.466788458159375,0.9046725798160473
mnist,dae,32,0.012730656603866436,0.00044804113116607734,18.954184420784294,0.8493057565486177
mnist,vae,32,0.009397329703131889,5.880726203839245e-05,20.270040565174554,0.906564136007999
mnist,ae,64,0.00691406989985324,0.00015332999291216133,21.603739910875053,0.9199364031882997
mnist,dae,64,0.011080310485781506,0.0006098199280707674,19.56132367365676,0.8528811004567654
mnist,vae,64,0.00960872741217943,0.00010340727283481887,20.17359181940413,0.9043547604946379
